City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Douentza,ML,15.0,-2.95,81.91,67,59,5.61,broken clouds
181,Sultepec,MX,18.87,-99.95,59.0,62,75,10.29,broken clouds
182,Eenhana,NA,-17.47,16.33,68.0,68,0,4.7,clear sky
183,Marrakesh,MA,31.63,-8.01,78.8,47,0,2.24,clear sky
184,Altay,CN,47.87,88.12,59.31,40,2,6.49,clear sky
185,Sao Filipe,CV,14.9,-24.5,79.68,83,77,16.28,light rain
186,Baruun-Urt,MN,46.68,113.28,65.5,52,0,10.74,clear sky
187,Saldanha,ZA,-33.01,17.94,55.4,93,75,3.36,broken clouds
188,Kruisfontein,ZA,-34.0,24.73,57.0,67,47,1.01,scattered clouds
189,San Carlos,VE,9.66,-68.58,74.32,92,48,1.99,scattered clouds
190,Chapais,CA,49.78,-74.85,44.6,93,20,6.93,few clouds
191,Makakilo City,US,21.35,-158.09,84.2,65,90,11.41,overcast clouds
192,Touros,BR,-5.2,-35.46,69.8,94,40,4.7,scattered clouds
193,Amberley,US,39.2,-84.43,68.0,72,1,4.7,clear sky
194,Mahebourg,MU,-20.41,57.7,66.2,88,75,17.22,broken clouds
195,Port Lincoln,AU,-34.73,135.87,60.94,63,33,1.19,scattered clouds
196,Terney,RU,45.05,136.61,73.69,61,2,6.91,clear sky
197,Broken Hill,AU,-31.95,141.43,66.2,34,0,5.82,clear sky
198,Kemin,KG,42.78,75.69,69.82,35,0,3.69,clear sky
199,La Rioja,ES,42.25,-2.5,59.0,77,0,2.26,clear sky
200,Lata,PT,40.16,-8.33,66.99,74,0,2.93,clear sky
201,Havre-Saint-Pierre,CA,50.23,-63.6,50.0,81,1,8.05,clear sky
202,Flinders,AU,-34.58,150.86,72.0,41,0,7.0,clear sky
203,High Level,CA,58.52,-117.14,59.0,82,75,4.45,broken clouds
204,Palana,RU,59.12,159.97,50.09,61,0,6.51,clear sky
205,Whitehorse,CA,60.72,-135.05,53.6,68,75,4.7,shower rain
206,Thompson,CA,55.74,-97.86,48.2,66,20,5.82,few clouds
207,Santiago,CL,-33.46,-70.65,50.0,93,14,8.05,few clouds
208,Poya,NC,-21.35,165.15,72.0,55,73,8.03,broken clouds
209,Leningradskiy,RU,69.38,178.42,37.8,78,99,3.91,overcast clouds
210,Narsaq,GL,60.92,-46.05,42.8,93,75,4.7,light intensity drizzle
211,Plastun,RU,44.76,136.29,75.15,60,1,6.06,clear sky
212,Seoul,KR,37.57,126.98,78.8,57,20,4.0,few clouds
213,Tapah,MY,4.2,101.26,80.6,78,20,4.12,few clouds
214,Kavaratti,IN,10.57,72.64,81.95,81,100,9.26,overcast clouds
215,Longyearbyen,SJ,78.22,15.64,42.8,100,75,8.05,light rain
216,Cayenne,GF,4.93,-52.33,78.8,88,0,9.98,clear sky
217,Kaili,ID,-3.46,120.21,82.02,60,22,4.72,few clouds
218,Ballina,AU,-28.87,153.57,82.99,50,40,4.7,scattered clouds
219,Portland,US,45.52,-122.68,79.0,61,100,1.99,overcast clouds
220,Udachnyy,RU,66.42,112.4,48.2,87,90,6.71,overcast clouds
221,Mantua,IT,45.17,10.78,63.0,92,0,1.25,clear sky
222,Gushikawa,JP,26.35,127.87,82.4,74,40,19.46,scattered clouds
223,Barrow,US,71.29,-156.79,39.2,86,75,1.39,broken clouds
224,Nauta,PE,-4.51,-73.58,73.8,94,75,2.46,broken clouds
225,Amparafaravola,MG,-17.58,48.22,52.93,84,65,5.77,broken clouds
226,Kamenka,RU,51.32,42.77,46.0,75,91,9.06,overcast clouds
227,Port Shepstone,ZA,-30.74,30.45,63.37,84,0,15.32,clear sky
228,Kaitangata,NZ,-46.28,169.85,57.18,52,56,6.11,broken clouds
229,Nantucket,US,41.28,-70.1,73.4,69,90,10.29,overcast clouds
230,Beisfjord,NO,68.38,17.6,53.6,93,100,18.34,light rain
231,Balsas,BR,-7.53,-46.04,73.8,40,3,3.33,clear sky
232,Baillif,GP,16.02,-61.75,78.8,88,72,2.24,broken clouds
233,Parambu,BR,-6.21,-40.69,73.78,48,55,3.94,broken clouds
234,Tuatapere,NZ,-46.13,167.68,57.2,53,93,3.53,overcast clouds
235,Mehamn,NO,71.04,27.85,54.52,85,78,13.53,broken clouds
236,Awbari,LY,26.59,12.78,79.29,29,0,10.47,clear sky
237,Warrnambool,AU,-38.38,142.48,57.99,70,8,1.99,clear sky
238,Kattivakkam,IN,13.22,80.32,86.0,79,75,4.21,mist
239,Saint-Pierre,RE,-21.34,55.48,64.4,88,75,12.75,broken clouds
240,Okha,RU,53.57,142.95,64.6,92,100,9.28,overcast clouds
241,Bathsheba,BB,13.22,-59.52,80.6,88,40,4.7,scattered clouds
242,Yerbogachen,RU,61.28,108.01,64.11,83,72,5.99,light rain
243,Batemans Bay,AU,-35.72,150.18,66.0,42,23,7.0,few clouds
244,Ahipara,NZ,-35.17,173.17,56.93,62,89,8.88,overcast clouds
245,Pingxiang,CN,27.62,113.85,81.55,68,63,1.77,broken clouds
246,Dunedin,NZ,-45.87,170.5,55.99,60,52,11.99,broken clouds
247,Puerto Madryn,AR,-42.77,-65.04,44.56,67,0,6.46,clear sky
248,Dayong,CN,25.02,118.29,77.0,73,75,6.71,broken clouds
249,Houma,US,29.6,-90.72,82.0,94,1,2.35,clear sky
250,Nome,US,64.5,-165.41,46.4,70,75,14.99,broken clouds
251,Udala,ES,43.08,-2.51,69.01,93,0,1.14,clear sky
252,Pudozh,RU,61.81,36.53,56.43,97,100,5.73,moderate rain
253,Campo Maior,BR,-4.83,-42.17,81.66,47,100,3.11,overcast clouds
254,Gamba,GA,-2.65,10.0,72.99,87,23,5.5,few clouds
255,San Rafael,AR,-34.62,-68.33,51.13,44,0,6.87,clear sky
256,Ponta Do Sol,PT,32.67,-17.1,73.4,73,40,9.17,scattered clouds
257,Daru,PG,-9.08,143.21,80.33,73,28,16.06,scattered clouds
258,Hami,CN,42.8,93.45,78.35,28,0,4.25,clear sky
259,Worth,US,41.69,-87.8,73.4,35,1,5.82,clear sky
260,Alberton,CA,46.82,-64.07,62.56,69,3,8.68,clear sky
261,Necochea,AR,-38.55,-58.74,39.99,1,70,1.01,broken clouds
262,Purna,IN,19.18,77.05,82.38,78,93,6.46,overcast clouds
263,Marawi,PH,8.0,124.29,84.99,77,23,8.01,few clouds
264,Boueni,YT,-12.9,45.08,75.2,78,17,10.29,light rain
265,Nanortalik,GL,60.14,-45.24,45.82,85,95,17.29,light rain
266,Ancud,CL,-41.87,-73.82,39.0,92,100,5.14,overcast clouds
267,Prince Rupert,CA,54.32,-130.32,57.2,93,90,3.36,light rain
268,Vestmannaeyjar,IS,63.44,-20.27,43.75,65,68,19.13,broken clouds
269,Mookane,BW,-23.69,26.66,54.7,82,0,8.37,clear sky
270,Kodiak,US,57.79,-152.41,55.4,62,1,8.05,clear sky
271,Ostrovnoy,RU,68.05,39.51,55.6,87,42,19.86,scattered clouds
272,Nara,JP,34.69,135.8,96.01,63,40,2.24,scattered clouds
273,Margate,GB,51.38,1.39,61.0,79,98,5.01,overcast clouds
274,Toyooka,JP,35.53,134.83,84.2,70,75,3.36,broken clouds
275,Zhigansk,RU,66.77,123.37,48.74,93,100,3.15,light rain
276,Corinto,GR,37.94,22.96,75.0,45,0,4.0,clear sky
277,Shestakovo,RU,56.49,103.96,74.43,49,100,1.57,overcast clouds
278,Sorland,NO,67.67,12.69,54.9,84,17,11.88,few clouds
279,Bereda,ES,43.27,-7.54,66.99,94,96,10.0,overcast clouds
280,Verkhnyaya Inta,RU,65.98,60.31,46.92,86,2,5.19,clear sky
281,Camacupa,AO,-12.02,17.48,62.35,39,3,2.89,clear sky
282,Geraldton,AU,-28.77,114.6,68.0,64,0,8.05,clear sky
283,Huarmey,PE,-10.07,-78.15,59.41,86,14,6.82,few clouds
284,Bay Roberts,CA,47.6,-53.26,68.0,1,7,12.62,clear sky
285,Bambous Virieux,MU,-20.34,57.76,66.2,88,75,17.22,broken clouds
286,Bull Savanna,JM,17.89,-77.59,76.48,86,9,11.1,clear sky
287,Chillicothe,US,39.33,-82.98,63.0,77,1,3.36,clear sky
288,Calama,CL,-22.47,-68.93,50.0,13,0,11.41,clear sky
289,Muros,ES,42.78,-9.06,66.0,83,7,1.99,clear sky
290,Sabha,LY,27.04,14.43,79.25,40,0,11.41,clear sky
291,El Centro,US,32.79,-115.56,109.4,13,75,4.7,broken clouds
